学号,姓名,年龄,性别,出生日期 ,出生地,籍贯,国籍/地区,身份证件号,健康状况,联系电话
10000001,郎间势,31,男,1995-11-25,仙游路140号-16-6,江苏,台湾,34252820151022970,健康或良好,15905744867
10000002,巫再法,20,女,1994-11-17,太湖路64号-13-10,湖北,香港,332521201701202469,残疾,13505797983
10000003,曾源也,26,女,1996-11-24,青岛路71号-10-6,云南,中国,410935198010028745,健康或良好,13302011416
10000004,詹究队,27,女,1993-04-03,天台二路52号-5-4,安徽,中国,522527192709299745,有慢性病,15007444026
10000005,程别车,32,男,1996-02-14,新湛支路103号-9-1,江苏,美国,220904198604016933,残疾,15600747125
10000006,慎后劳,18,男,1994-07-20,太平角五路17号-1-7,上海,香港,710327193801177346,残疾,15805400061
10000007,祁于通,29,男,1994-06-12,堂邑路147号-12-10,湖北,香港,150224196005044569,健康或良好,15601060421
10000008,熊群拉,33,女,1992-04-08,丰县广场19号-18-2,安徽,澳门,210731199711302624,残疾,13501215655
10000009,简变液,21,男,1994-10-07,二轻新村镇45号-19-10,安徽,中国,650628200912151540,残疾,15300508653
10000010,巴变防,29,女,1994-05-01,武昌路150号-11-3,云南,澳门,220605198503285736,有慢性病,13405868395
10000011,郁决题,28,女,1992-08-17,锦州街124号-1-2,安徽,美国,522337198808212043,健康或良好,13902252597
10000012,龚根对,26,女,1997-04-26,小港一大厦79号-3-7,江苏,美国,450509191810257232,有慢性病,13902648020
10000013,墨德标,29,男,1995-11-18,济宁街43号-13-8,上海,香港,230202201307299333,有慢性病,13701275250
10000014,蔚满南,34,女,1993-12-27,莱芜一广场108号-16-9,云南,香港,11082419740325322,有生理缺陷,13906223026
10000015,郭别德,31,女,1993-11-26,香港中大厦92号-18-7,上海,台湾,620310192401077071,一般或较弱,13106820572
10000016,凌排联,29,男,1995-11-20,基隆广场30号-8-10,上海,澳门,220205196506209809,一般或较弱,15007374933
10000017,尹者极,26,女,1992-09-03,新湛一路43号-11-5,湖北,香港,540404191802118838,残疾,13604133174
10000018,公首二,21,女,1994-04-14,新湛支路132号-3-7,安徽,香港,452637201603221846,有慢性病,15606165785
10000019,顾原持,18,女,1995-03-21,仙山街103号-18-6,上海,香港,320809194505032526,有慢性病,15204365437
10000020,寿元感,31,女,1997-04-16,济宁支街85号-17-3,江苏,台湾,232708201107205559,健康或良好,13901016798
10000021,夔点志,18,男,1997-08-17,洪泽湖路120号-2-10,安徽,台湾,330227196902066379,有生理缺陷,15903232113
10000022,墨社复,33,女,1994-03-19,绍兴广场19号-12-2,江苏,台湾,15253420140323606,残疾,13004922182
10000023,霍分社,29,男,1994-10-18,宁德街143号-2-7,云南,中国,332521192210282462,一般或较弱,15207962305
10000024,蔚自适,33,女,1993-09-01,漳浦广场77号-1-5,上海,中国,542537196808245314,有慢性病,15606563029
10000025,赵早木,21,男,1995-12-27,台湛广场99号-17-2,湖北,美国,462507195601283461,有慢性病,13402803084
10000026,连派府,29,男,1993-01-23,三明路20号-7-9,上海,台湾,340325200601011212,有慢性病,13001358106
10000027,屈一日,21,男,1992-08-03,湖南路54号-14-8,云南,中国,332410192211263447,有生理缺陷,15704088699
10000028,慕只都,32,男,1994-01-15,汇泉广场52号-14-10,安徽,美国,442631198410272176,健康或良好,13105930500
